Nm_na_NmGenW	Aifreann na marbh	Aifreann,na,marbh
Nf_NfL	bearna chánach	bearna,cáin
Nm_A	beart amhantrach	beart,amhantrach
Nm_Nf	beart codlata	beart,codladh
Nm_NSt	beart oibre	beart,obair
Nm_AB	beartas poiblí	beartas,poiblí
Nf_A	beith gheal	beith,geal
Nm_VA	bia reoite	bia,reoite
Nm_Nm	bia éanáin	bia,éanán
Nm_A	biatas mór	biatas,mór
Nf_NfL	bileog shráide	bileog,sráid
Nf_VNTIGenL	bileog shúile	bileog,súil
Nm_Nm	bindealán cinn	bindealán,ceann
Nf_Nm	binn féaraigh	binn,féarach
Nm_Nm	binse breithimh	binse,breitheamh
Nm_VNTI	biolar trá	biolar,trá
Nm_VA	bior braite	bior,braite
Nm_VA	bior greanta	bior,greanta
Nm_VNTIGen	bior seaca	bior,sioc
Nm_Nm	biorán brollaigh	biorán,brollach
Nm_VNTIGen	biorán cniotála	biorán,cniotáil
Nm_Nf	biorán gruaige	biorán,gruaig
Nm_A	biotúman leachtach	biotúman,leachtach
Nm_A	blas géar	blas,géar
Nf_A	bliain shabóideach	bliain,sabóideach
Nm_Nf	blosc toirní	blosc,toirneach
Nm_Nm	blár catha	blár,cath
Nf_AB	bláthnaid ghallda	bláthnaid,gallda
Nm_Nf	blúire nuachta	blúire,nuacht
Nm_A	boc mór	boc,mór
Nm_A	bod donn	bod,donn
Nm_A	bod gorm	bod,gorm
Nm_A	bod mór	bod,mór
Nm_na_NmGenW	bod na dtor	bod,na,tor
Nm_AB	bod rua	bod,rua
Nm_AB	bodach buí	bodach,buí
Nm_Nm	bodach bóthair	bodach,bóthar
Nm_A	bodach donn	bodach,donn
Nm_Nm	bodach gliogair	bodach,gliogar
Nm_A	bodach mór	bodach,mór
Nm_Nf	bodán coille	bodán,coill
Nm_na_NmGenS	bodán na gcloigíní	bodán,na,cloigín
Nm_VNIGen	bogha báistí	bogha,báisteach
Nm_Nm	bogha ceatha	bogha,cith
Nm_Nf	boidín meithle	boidín,meitheal
Nf_NfL	boilsc ghloine	boilsc,gloine
Nm_A	boinéad sciathánach	boinéad,sciathánach
Nm_Nm	boiscín púdair	boiscín,púdar
Nm_Nm	boladh coirp	boladh,corp
Nm_AB	boladh cumhra	boladh,cumhra
Nm_VNTIGen	bolg snámha	bolg,snámh
Nm_VNTIGen	bolg soláthair	bolg,soláthar
Nm_Nf	bolgán béice	bolgán,béic
Nm_Nm	bolgán solais	bolgán,solas
Nm_A	bonn bán	bonn,bán
Nm_VA	bonn ligthe	bonn,ligthe
Nm_Nf	bonn nicile	bonn,nicil
Nm_Nm	bord deiridh	bord,deireadh
Nm_VNTGen	bord iarnála	bord,iarnáil
Nm_VA	bord riartha	bord,riartha
Nm_A	bord íseal	bord,íseal
Nm_VNTGen	borradh ceoil	borradh,ceol
Nf_NfL	borrphéist choise	borrphéist,cos
Nm_Nf	bosca abhlainne	bosca,abhlann
Nm_Nm	bosca bruscair	bosca,bruscar
Nm_VNTGen	bosca ceoil	bosca,ceol
Nm_VA	bosca coigilte	bosca,coigilte
Nm_Nf	bosca faoistine	bosca,faoistin
Nm_A	bosca fuar	bosca,fuar
Nm_Nf	bosca fuinneoige	bosca,fuinneog
Nm_Nm	bosca gainimh	bosca,gaineamh
Nm_Nf	bosca gallúnaí	bosca,gallúnach
Nm_Nm	bosca gutháin	bosca,guthán
Nm_Nm	bosca oighir	bosca,oighear
Nm_Nm	bosca poist	bosca,post
Nm_Nm	bosca teileafóin	bosca,teileafón
Nm_A	brachán lom	brachán,lom
Nm_Nm	bradán fearna	bradán,fearn
Nm_A	bran beag	bran,beag
Nm_Nf	branra brád	branra,bráid
Nm_VNIGen	braon báistí	braon,báisteach
Nm_na_NmGenW	brat na scaball	brat,na,scaball
Nm_Nm	brathadóir éithigh	brathadóir,éitheach
Nm_A	breac aisteach	breac,aisteach
Nm_Nf	breac raice	breac,raic
Nm_A	breacadh cearnógach	breacadh,cearnógach
Nf_Nf	breith clainne	breith,clann
Nf_Nf	breith fionraíochta	breith,fionraíocht
Nm_Nm	breithiúnas báis	breithiúnas,bás
Nf_NfL	breoiteacht mhuice	breoiteacht,muc
Nf_A	breoiteacht mhór	breoiteacht,mór
Nm_Nm	bristeoir oighir	bristeoir,oighear
Nm_A	brocaire te	brocaire,te
Nm_NSt	brocamas cainte	brocamas,caint
Nm_A	bronntanas déirceach	bronntanas,déirceach
Nf_A	bruitíneach dhearg	bruitíneach,dearg
Nf_NfL	bruitíneach ghréine	bruitíneach,grian
Nm_Nm	bruscar aráin	bruscar,arán
Nm_VNIGen	bruth báistí	bruth,báisteach
Nm_Pr_NfComL	bruth faoi thír	bruth,faoi,tír
Nm_Nf	bruth féasóige	bruth,féasóg
Nm_AB	bruth rua	bruth,rua
Nm_Nm	brá gill	brá,geall
Nm_Nf	bráisléad brád	bráisléad,bráid
Nm_A	bríce Ollannach	bríce,Ollannach
Nm_Nm	bríce aráin	bríce,arán
Nm_A	bríste gairid	bríste,gairid
Nm_VA	bríste sciota	bríste,sciota
Nm_VNTIGen	bríste snámha	bríste,snámh
Nf_A	bróg ard	bróg,ard
Nf_NfL	bróg ghleacaíochta	bróg,gleacaíocht
Nf_A	bróg mhór	bróg,mór
Nf_NfL	bróg pheile	bróg,peil
Nf_VNTIGen	bróg reatha	bróg,rith
Nf_VNIGen	bróg sciála	bróg,sciáil
Nf_VNTIGenL	bróg thraenála	bróg,traenáil
Nm_Pr_NfComL	brú ar aghaidh	brú,ar,aghaidh
Nm_Pr_NmComL	brúitín ar uachtar	brúitín,ar,uachtar
Nm_A	bua Piorrach	bua,Piorrach
Nm_A	bua caoch	bua,caoch
Nm_Pr_NfComL	bua gan choimhlint	bua,gan,coimhlint
Nm_na_Nf	bua na hoiriúnachta	bua,na,oiriúnacht
Nm_Nf	buachaill aimsire	buachaill,aimsir
Nm_Nm	buachaill baile	buachaill,baile
Nm_Nf	buachaill feirme	buachaill,feirm
Nm_A	buachaill mór	buachaill,mór
Nm_A	buachaill óg	buachaill,óg
Nf_Pr_NfComL	buachan ó thalamh	buachan,ó,talamh
Nm_Nf	buadán déise	buadán,dias
Nm_Nf	buaircín péine	buaircín,pian
Nm_Nm	bualadh boid	bualadh,bod
Nm_Nf	bualadh cloiche	bualadh,cloch
Nm_Nm	bualadh craicinn	bualadh,craiceann
Nm_A	buama adamhach	buama,adamhach
Nf_NfL	buarach bhaithise	buarach,baithis
Nm_Nm	bugaí linbh	bugaí,leanbh
Nm_A	buidéal te	buidéal,te
Nm_Pr_NmComL	buille ar bhuille	buille,ar,buille
Nm_A	buille beag	buille,beag
Nm_Nf	buille boise	buille,bos
Nm_Nm	buille cloiginn	buille,cloigeann
Nm_Nf	buille coise	buille,cos
Nm_A	buille craobhach	buille,craobhach
Nm_Pr_NfComL	buille faoi thuairim	buille,faoi,tuairim
Nm_Nf	buille gualainne	buille,gualainn
Nm_A	buille géar	buille,géar
Nm_na_Nf	buille na sní	buille,na,sní
Nm_na_Nf	buille na tubaiste	buille,na,tubaiste
Nm_Nm	buille pinn	buille,peann
Nm_Nf	buille scuaibe	buille,scuab
Nm_Nf	builín feola	builín,feoil
Nm_A	buinneán bán	buinneán,bán
Nm_Nf	bun abhann	bun,abhainn
Nm_na_Nf	bun na spéire	bun,na,spéir
Nm_AB	bundún leice	bundún,leice
Nm_Nf	buntáiste breise	buntáiste,breis
Nm_A	buntáiste meicniúil	buntáiste,meicniúil
Nm_A	buí mór	buí,mór
Nf_VNTGenL	buíon cheoil	buíon,ceol
Nf_VNTGen	buíon tarrthála	buíon,tarrtháil
Nm_A	bád bán	bád,bán
Nm_Nf	bád farantóireachta	bád,farantóireacht
Nm_NSt	bád iascaireachta	bád,iascaireacht
Nm_VA	bád iomartha	bád,iomartha
Nm_Nm	bád poist	bád,post
Nm_VNTIGen	bád rámhaíochta	bád,rámhaíocht
Nm_Nm	bád seoil	bád,seol
Nm_VNTGen	bád tarrthála	bád,tarrtháil
Nm_VA	báire buailte	báire,buailte
Nf_A	báisteach aigéadach	báisteach,aigéadach
Nm_Nm	bás cliabháin	bás,cliabhán
Nm_AB	bás dorcha	bás,dorcha
Nm_A	bás gorm	bás,gorm
Nf_NfL	bé choille	bé,coill
Nm_A	béal binn	béal,binn
Nm_A	béal bocht	béal,bocht
Nm_Nm	béal bolcáin	béal,bolcán
Nm_A	béal bán	béal,bán
Nm_Nm	béal dorais	béal,doras
Nm_Nm	béal duibheagáin	béal,duibheagán
Nm_VA	béal múinte	béal,múinte
Nm_na_Nf	béal na bréige	béal,na,bréag
Nm_na_Nf	béal na céille	béal,na,ciall
Nm_A	béal salach	béal,salach
Nm_A	béar bán	béar,bán
Nm_A	béar liath	béar,liath
Nm_A	béile beag	béile,beag
Nm_Nf	béile maidine	béile,maidin
Nm_A	béile scamhardach	béile,scamhardach
Nf_NfL	béilteach thine	béilteach,tine
Nf_NfL	béim ghréine	béim,grian
Nf_Pr_NfComL	bí ar aire	bí,ar,aire
Nf_Pr_NmComL	bí ar lóistín	bí,ar,lóistín
Nm_A	bíoma bán	bíoma,bán
Nf_A	bó mhór	bó,mór
Nm_Nm	bóthar aimhleasa	bóthar,aimhleas
Nm_Nm	bóthar iarainn	bóthar,iarann
Nm_A	bóthar mór	bóthar,mór
Nf_Nm	bóín Dé	bóín,dia
Nm_A	cabaire breac	cabaire,breac
Nm_Nf	cabhán abhann	cabhán,abhainn
Nm_VA	cabáiste géaraithe	cabáiste,géaraithe
Nm_Pr_NmComL	cac ar oineach	cac,ar,oineach
Nm_Nm	cadhan aonair	cadhan,aonar
Nf_Nm	caidhp fir	caidhp,fear
Nm_AB	caidreamh collaí	caidreamh,collaí
Nm_AB	caidreamh idirnáisiúnta	caidreamh,idirnáisiúnta
Nm_AB	caidreamh poiblí	caidreamh,poiblí
Nm_Nm	caidéal peitril	caidéal,peitreal
Nf_VA	cailleach bhasctha	cailleach,basctha
Nf_A	cailleach bhreac	cailleach,breac
Nf_A	cailleach dhubh	cailleach,dubh
Nf_Nm	cailleach feasa	cailleach,fios
Nf_AB	cailleach fhada	cailleach,fada
Nf_A	cailleach phiseogach	cailleach,piseogach
Nf_A	cailleach ribeach	cailleach,ribeach
Nm_Nf	cailín aimsire	cailín,aimsir
Nm_Nm	cailín beáir	cailín,beár
Nm_A	cailín bán	cailín,bán
Nm_Nf	cailín coimhdeachta	cailín,coimhdeacht
Nm_A	cailín dearg	cailín,dearg
Nm_A	cailín donn	cailín,donn
Nm_AB	cailín gleoite	cailín,gleoite
Nm_Nm	cailín pléisiúir	cailín,pléisiúr
Nm_A	cailín uasal	cailín,uasal
Nm_A	cailín óg	cailín,óg
Nm_Nm	caincín báid	caincín,bád
Nf_A	caint bhrocach	caint,brocach
Nf_AB	caint bhéalscaoilte	caint,béalscaoilte
Nf_A	caint dheisbhéalach	caint,deisbhéalach
Nf_A	caint shrónach	caint,srónach
Nm_Nm	cainteoir dúchais	cainteoir,dúchas
Nm_Nm	caipiteal fiontair	caipiteal,fiontar
Nm_Nm	caipín amadáin	caipín,amadán
Nm_VA	caipín buailte	caipín,buailte
Nm_A	caipín dearg	caipín,dearg
Nm_A	caipín dubh	caipín,dubh
Nm_VNTIGen	caipín súile	caipín,súil
Nm_A	cairpéad Peirseach	cairpéad,Peirseach
Nm_Nm	cairrín gailf	cairrín,galf
Nm_Nf	cairrín láimhe	cairrín,lámh
Nf_VA	cairt fhostaithe	cairt,fostaithe
Nm_Nm	caisleán gainimh	caisleán,gaineamh
Nm_Nm	caislín aitinn	caislín,aiteann
Nm_Nm	caiteoir dinnéir	caiteoir,dinnéar
Nm_Nf	caitheamh aimsire	caitheamh,aimsir
Nm_Nf	cam reilige	cam,reilig
Nm_Nm	campa géibhinn	campa,géibheann
Nm_Nf	camán luatha	camán,luaith
Nm_AB	camán míonla	camán,míonla
Nm_Nm	candaí cadáis	candaí,cadás
Nm_VA	canna bealaithe	canna,bealaithe
Nf_Nm	cantaoir fíona	cantaoir,fíon
Nf_VNTIGen	cantaoir stampála	cantaoir,stampáil
Nm_na_Nf	caol na coise	caol,na,cos
Nm_na_Nf	caol na láimhe	caol,na,lámh
Nm_na_Nf	caol na sróine	caol,na,srón
Nm_A	caolán beag	caolán,beag
Nm_Nm	caolán imleacáin	caolán,imleacán
Nm_A	caonach liath	caonach,liath
Nm_Nf	caonach móna	caonach,móin
Nf_Nf	caor fíniúna	caor,fíniúin
Nf_NfL	caor thine	caor,tine
Nm_A	capall anaithnid	capall,anaithnid
Nm_A	capall barbarach	capall,barbarach
Nm_A	capall bán	capall,bán
Nm_Nm	capall cogaidh	capall,cogadh
Nm_Nf	capall coille	capall,coill
Nm_A	capall corrach	capall,corrach
Nm_AB	capall deargrua	capall,deargrua
Nm_Nf	capall folaíochta	capall,folaíocht
Nm_VA	capall fostaithe	capall,fostaithe
Nm_A	capall glas	capall,glas
Nm_VNTIGen	capall léime	capall,léim
Nm_VNTIGen	capall marcaíochta	capall,marcaíocht
Nm_Nm	capall rása	capall,rás
Nm_VNTIGen	capall seilge	capall,seilg
Nm_Nf	capall stalcaireachta	capall,stalcaireacht
Nm_A	capall suarach	capall,suarach
Nm_A	capall sáiteach	capall,sáiteach
Nm_Nm	cara cléibh	cara,cliabh
Nm_Nm	cara cnis	cara,cneas
Nm_na_Nf	cara na soininne	cara,na,soineann
Nm_Nm	cara pinn	cara,peann
Nm_Nf	carbhat cuachóige	carbhat,cuachóg
Nm_Nf	carbhán carraige	carbhán,carraig
Nm_Nf	carn dramhaíola	carn,dramhaíl
Nm_Nm	carnán bioráin	carnán,biorán
Nf_Nf	carr beirte	carr,beirt
Nf_VNIGen	carr campála	carr,campáil
Nm_A	carr cliathánach	carr,cliathánach
Nf_A	carra mhilis	carra,milis
Nm_Nf	carráiste beirte	carráiste,beirt
Nm_Nf	carráiste codlata	carráiste,codladh
Nm_A	cartús caoch	cartús,caoch
Nf_A	caróg dhubh	caróg,dubh
Nf_Nm	casóg dinnéir	casóg,dinnéar
Nf_A	casóg mhór	casóg,mór
Nf_A	casóg philéardhíonach	casóg,piléardhíonach
Nm_A	cat breac	cat,breac
Nm_A	cat fiáin	cat,fiáin
Nm_A	cat riabhach	cat,riabhach
Nf_A	cathaoir ard	cathaoir,ard
Nf_A	cathaoir bhog	cathaoir,bog
Nm_NSt	cead cainte	cead,caint
Nm_VA	cead diúltaithe	cead,diúltaithe
Nm_VA	cead radta	cead,radta
Nm_VNTIGen	ceadúnas tiomána	ceadúnas,tiomáint
Nm_NSt	ceal oibre	ceal,obair
Nm_Nf	ceamara slándála	ceamara,slándáil
Nm_AB	ceann amháin	ceann,amháin
Nm_Pr_NfComL	ceann ar aghaidh	ceann,ar,aghaidh
Nm_Pr_NmComL	ceann ar cheann	ceann,ar,ceann
Nm_Nm	ceann báid	ceann,bád
Nm_Nm	ceann cait	ceann,cat
Nm_A	ceann caoch	ceann,caoch
Nm_Nm	ceann casúir	ceann,casúr
Nm_AB	ceann crua	ceann,crua
Nm_Nm	ceann cruacháin	ceann,cruachán
Nm_Nf	ceann crúibe	ceann,crúb
Nm_Nf	ceann deile	ceann,deil
Nm_Nm	ceann deiridh	ceann,deireadh
Nm_Nf	ceann feadhna	ceann,feadhain
Nm_Nm	ceann iompair	ceann,iompar
Nm_VA	ceann ionsaithe	ceann,ionsaithe
Nm_A	ceann litreach	ceann,litreach
Nm_NSt	ceann oibre	ceann,obair
Nm_Nm	ceann poist	ceann,post
Nm_Nm	ceann riain	ceann,rian
Nm_Nf	ceann scríbe	ceann,scríob
Nm_Nf	ceann sprice	ceann,sprioc
Nm_Nf	ceann tíre	ceann,tír
Nm_A	ceannaí daor	ceannaí,daor
Nm_Nm	ceannaí siúil	ceannaí,siúl
Nm_Nf	ceap luiche	ceap,luch
Nm_Nm	ceap rotha	ceap,roth
Nf_Nf	ceapach fuinneoige	ceapach,fuinneog
Nf_A	cearc cheannann	cearc,ceannann
Nf_A	cearc cholgach	cearc,colgach
Nf_A	cearc gheal	cearc,geal
Nm_VA	ceart ainmnithe	ceart,ainmnithe
Nm_Nf	ceart tosaíochta	ceart,tosaíocht
Nm_VNTIGen	ceart vótála	ceart,vótáil
Nf_Nm	ceathrú ciorcail	ceathrú,ciorcal
Nf_A	ceathrú dhubh	ceathrú,dubh
Nf_Nm	ceathrú dollair	ceathrú,dollar
Nf_A	ceathrú ghorm	ceathrú,gorm
Nm_VA	ceiliúr pósta	ceiliúr,pósta
Nm_A	ceirnín dlúth	ceirnín,dlúth
Nm_A	ceirnín singil	ceirnín,singil
Nf_NfL	ceithearn choille	ceithearn,coill
Nf_Nm	ceithearn timpill	ceithearn,timpeall
Nm_Nf	ceo meala	ceo,mil
Nm_Nm	ceol aireagail	ceol,aireagal
Nm_Nm	ceol aonair	ceol,aonar
Nm_A	ceol clasaiceach	ceol,clasaiceach
Nm_AB	ceol domhanda	ceol,domhanda
Nm_na_NmGenS	ceol na ndaoine	ceol,na,duine
Nm_Nf	ceol tíre	ceol,tír
Nm_Nf	ceoltóir sráide	ceoltóir,sráid
Adv:Adv_Adj	chomh maith	chomh,maith
Nf_VA	ciall cheannaithe	ciall,ceannaithe
Nm_Nm	ciarsúr páipéir	ciarsúr,páipéar
Nf_A	ciaróg dhubh	ciaróg,dubh
Nf_Nm	cic pionóis	cic,pionós
Nm_Nm	cigire poill	cigire,poll
Nm_Nf	cigire tóna	cigire,tóin
Nm_AB	cine daonna	cine,daonna
Nm_PrA_NmComL	cion sa chion	cion,i,cion
Nm_Nm	ciontóir promhaidh	ciontóir,promhadh
Nm_A	ciorcal lochtach	ciorcal,lochtach
Nm_VNTIGen	ciorcal traenála	ciorcal,traenáil
Nm_Nm	ciorrú cine	ciorrú,cine
Nm_Nm	ciorrú coil	ciorrú,col
Nm_Nm	cipín aráin	cipín,arán
Nm_Nf	cipín méire	cipín,méar
Nm_A	circín starraiceach	circín,starraiceach
Nm_VNTI	circín trá	circín,trá
Nf_A	cirte pholaitiúil	cirte,polaitiúil
Nm_Nm	ciseal ózóin	ciseal,ózón
Nm_Nm	ciseán aráin	ciseán,arán
Nm_Nm	ciúb oighir	ciúb,oighear
Nm_Nm	claibín muilinn	claibín,muileann
Nf_Nf	clann clainne	clann,clann
Nm_Nf	claon adhairte	claon,adhairt
Nm_Nf	claí teorann	claí,teorainn
Nm_A	claíomh mór	claíomh,mór
Nm_Nf	cleachtadh cuarda	cleachtadh,cuaird
Nm_AB	cleas gránna	cleas,gránna
Nm_NSt	cleas magaidh	cleas,magadh
Nm_na_Nf	cleas na péiste	cleas,na,péist
Nm_Nf	cleas poiblíochta	cleas,poiblíocht
Nm_A	cleas suarach	cleas,suarach
Nm_A	cleasaí cluanach	cleasaí,cluanach
Nm_Nf	cleite éigrite	cleite,éigrit
Nm_Nm	cliabhán cinn	cliabhán,ceann
Nm_Nf	clibín gruaige	clibín,gruaig
Nm_A	cliseadh néarógach	cliseadh,néarógach
Nf_NfL	cloch dhúshraithe	cloch,dúshraith
Nf_NfL	cloch ghréine	cloch,grian
Nf_A	cloch lómhar	cloch,lómhar
Nf_VNTGenL	cloch phábhála	cloch,pábháil
Nm_A	clogad mosach	clogad,mosach
Nm_Nf	clogán streille	clogán,streill
Nm_Pr_NmComL	cloigeann ar scriú	cloigeann,ar,scriú
Nm_A	cloigeann ramhar	cloigeann,ramhar
Nm_Nm	cloigín dorais	cloigín,doras
Nm_A	cloigín gorm	cloigín,gorm
Nm_Nm	cluaisín cait	cluaisín,cat
Nm_VNTIGenL	cluaisín chúnta	cluaisín,cúnamh
Nf_A	cluas chaoin	cluas,caoin
Nm_Nm	cluiche aonair	cluiche,aonar
Nm_Nf	cluiche beirte	cluiche,beirt
Nm_Nm	cluiche boird	cluiche,bord
Nm_VA	cluiche caointe	cluiche,caointe
Nm_A	cluiche ceannais	cluiche,ceannais
Nm_Nm	cluiche ceathrair	cluiche,ceathrar
Nm_Nm	cluiche comórtais	cluiche,comórtas
Nm_A	cluiche corr	cluiche,corr
Nm_VA	cluiche cáilithe	cluiche,cáilithe
Nm_A	cluiche saor	cluiche,saor
Nf_NfL	cluimhreach ghabhair	cluimhreach,gabhair
Nm_A	clár aibítreach	clár,aibítreach
Nm_Nf	clár baithise	clár,baithis
Nm_Nm	clár boinn	clár,bonn
Nm_Nm	clár cinn	clár,ceann
Nm_VA	clár comhardaithe	clár,comhardaithe
Nm_NSt	clár comhrá	clár,comhrá
Nm_Nm	clár deiridh	clár,deireadh
Nm_A	clár dubh	clár,dubh
Nm_Nf	clár faisnéise	clár,faisnéis
Nm_Nf	clár fichille	clár,ficheall
Nm_Nm	clár focail	clár,focal
Nm_VA	clár fáiscthe	clár,fáiscthe
Nm_VNTGen	clár iarnála	clár,iarnáil
Nm_Nm	clár imill	clár,imeall
Nm_na_Nf	clár na fírinne	clár,na,fírinne
Nm_na_NmGenW	clár na mionn	clár,na,mionn
Nm_NSt	clár oibre	clár,obair
Nm_VNTI	clár plé	clár,plé
Nm_VNIGen	clár scátála	clár,scátáil
Nm_Nm	clár scóir	clár,scór
Nm_VA	clár seasta	clár,seasta
Nm_VNTIGen	clár smúdála	clár,smúdáil
Nm_Nm	clár taois	clár,taos
Nm_Nf	clár toinne	clár,tonn
Nm_Nf	clár tumadóireachta	clár,tumadóireacht
Nm_Nf	clár tíreolaíochta	clár,tíreolaíocht
Nm_Nm	clár ábhair	clár,ábhar
Nm_Nm	clár éadain	clár,éadan
Nm_Nf	cláraitheoir ríomhaireachta	cláraitheoir,ríomhaireacht
Nm_Nf	clásal breise	clásal,breis
Nm_VA	cló brúite	cló,brúite
Nm_A	cló gaelach	cló,gaelach
Nm_A	cló iodálach	cló,iodálach
Nm_A	cló trom	cló,trom
Nm_Nm	clóca maisc	clóca,masc
Nm_Nf	clós feirme	clós,feirm
Nm_Nf	clós scoile	clós,scoil
Nm_A	clúdach bog	clúdach,bog
Nm_AB	clúdach crua	clúdach,crua
Nm_A	clúdach litreach	clúdach,litreach
Nm_Nm	clúdach piliúir	clúdach,piliúr
Nm_Nm	clúdach páipéir	clúdach,páipéar
Nm_A	clúmh liath	clúmh,liath
Nm_VA	cnaipe scriosta	cnaipe,scriosta
Nm_A	cnapán dubh	cnapán,dubh
Nm_Nm	cnoc oighir	cnoc,oighear
Nm_Nm	cnota mullaigh	cnota,mullach
Nm_NSt	cnáimhín súgartha	cnáimhín,súgradh
Nf_Nm	cnámh droma	cnámh,droim
Nf_A	cnámh radúil	cnámh,radúil
Nm_A	cnó Brasaíleach	cnó,Brasaíleach
Nm_Nm	cnó capaill	cnó,capall
Nm_VNTIGen	cnó cnuasaigh	cnó,cnuasach
Nm_Nf	cnó darach	cnó,dair
Nm_A	cnó gaelach	cnó,gaelach
Nm_AB	cnó gallda	cnó,gallda
Nm_Nf	cnó talún	cnó,talamh
Nm_A	cnúdán glas	cnúdán,glas
Nf_Pr_NmComL	cocaireacht le chéile	cocaireacht,le,céile
Nm_Nf	cochall pise	cochall,pis
Nm_A	cocán dearg	cocán,dearg
Nm_Nm	cocán róis	cocán,rós
Nm_A	cogadh adamhach	cogadh,adamhach
Nm_A	cogadh aicmeach	cogadh,aicmeach
Nm_AB	cogadh cathartha	cogadh,cathartha
Nm_A	cogadh dearg	cogadh,dearg
Nm_AB	cogadh domhanda	cogadh,domhanda
Nm_A	cogadh eacnamaíoch	cogadh,eacnamaíoch
Nm_na_NmGenS	cogadh na sifíní	cogadh,na,sifín
Nm_VA	cogadh tnáite	cogadh,tnáite
Nm_Nm	cogar scéil	cogar,scéal
Nf_AB	coibhneasacht ghinearálta	coibhneasacht,ginearálta
Nm_A	coileach ceannann	coileach,ceannann
Nm_Nf	coileach coille	coileach,coill
Nm_A	coileach dubh	coileach,dubh
Nm_Nm	coileach fraoigh	coileach,fraoch
Nm_Nf	coileach péacóige	coileach,péacóg
Nm_A	coileach óg	coileach,óg
Nf_NfL	coill ghiúise	coill,giúis
Nm_na_Nf	coimhdire na cuaiche	coimhdire,na,cuach
Nm_VA	coimisiún caomhnaithe	coimisiún,caomhnaithe
Nm_VNTGen	coinlín ceoil	coinlín,ceol
Nm_A	coinnleoir craobhach	coinnleoir,craobhach
Nm_A	coirce gorm	coirce,gorm
Nf_NfL	coirceog ghiúise	coirceog,giúis
Nf_NfL	coirceog mhóna	coirceog,móin
Nm_Nm	coire guairneáin	coire,guairneán
Nf_VNTGenL	coirm cheoil	coirm,ceol
Nf_Pr_NmComL	coirm gan chuireadh	coirm,gan,cuireadh
Adv:Pr_Nf	cois farraige	cois,farraige
Nf_NfL	coiscéim bhacaí	coiscéim,bacaí
Nf_A	coiscéim uaibhreach	coiscéim,uaibhreach
Nm_Nm	coiste feidhmiúcháin	coiste,feidhmiúchán
Nm_A	coisí neamh-aireach	coisí,neamh-aireach
Nm_Nm	col ceathrair	col,ceathrar
Nm_Nm	col cúigir	col,cúigear
Nm_Nm	col ochtair	col,ochtar
Nf_Nm	colainn báid	colainn,bád
Nm_Nf	colbha leapa	colbha,leaba
Nm_Nf	colm aille	colm,aill
Nm_Nf	colpa coise	colpa,cos
Nm_na_NmGenW	colún na marbh	colún,na,marbh
Nm_AB	colún pearsanta	colún,pearsanta
Nm_Nf	colúr frithinge	colúr,frithing
Nm_Nf	colúr teachtaireachta	colúr,teachtaireacht
Nf_Nm	comhairle baile	comhairle,baile
Nm_VNT	comhairleoir dlí	comhairleoir,dlí
Nm_na_Nf	comhartha na croise	comhartha,na,cros
Nf_VNTIGenL	comhla thógála	comhla,tógáil
Nm_Nm	comhrac aonair	comhrac,aonar
Nm_Nm	comhraiceoir aonair	comhraiceoir,aonar
Nm_Nm	comhrá béil	comhrá,béal
Nm_A	comhtharlú glan	comhtharlú,glan
Nm_NfGenS	comhthionól ban	comhthionól,bean
Nm_A	comhéadan grafach	comhéadan,grafach
Nm_Nm	compar cinn	compar,ceann
Nm_Nf	comrádaí scoile	comrádaí,scoil
Nm_VA	comórtas litrithe	comórtas,litrithe
Nm_VNTGen	comórtas lámhaigh	comórtas,lámhach
Nm_AB	conduchtaire tintrí	conduchtaire,tintrí
Nm_Pr_NmComL	conradh faoi shéala	conradh,faoi,séala
Nm_Nf	conradh síochána	conradh,síocháin
Nm_A	consan análach	consan,análach
Nm_A	consan carballach	consan,carballach
Nm_A	consan glórach	consan,glórach
Nm_A	consan liopach	consan,liopach
Nm_A	consan neamhghlórach	consan,neamhghlórach
Nm_VA	consan rollta	consan,rollta
Nm_Nf	consan scornaí	consan,scornach
Nm_Nm	cor bealaigh	cor,bealach
Nm_A	cor cinniúnach	cor,cinniúnach
Nm_Nf	cor coise	cor,cos
Nm_Nf	corcrán coille	corcrán,coill
Nm_VA	corcán leáite	corcán,leáite
Nm_Nf	corda laisce	corda,lasc
Nm_Nm	cornán caisil	cornán,caiseal
Nm_Nf	corp eaglaise	corp,eaglais
Nm_Nm	corpán solais	corpán,solas
Nf_A	corr ghlas	corr,glas
Nf_A	corr ghobach	corr,gobach
Nf_A	corr leitheadach	corr,leitheadach
Nf_NfL	corr mhóna	corr,móin
Nf_VA	corr shéanta	corr,séanta
Nm_A	corrán dearg	corrán,dearg
Nm_Nf	corrán féasóige	corrán,féasóg
Nm_Nm	cosc beireatais	cosc,beireatas
Nm_Nf	coscán práinne	coscán,práinn
Nf_VNTIGen	cosmaid súile	cosmaid,súil
Nm_VA	costas cothaithe	costas,cothaithe
Nm_Nm	costas iompair	costas,iompar
Nm_VNTIGen	costas maireachtála	costas,maireachtáil
Nm_VA	costas riartha	costas,riartha
Nm_A	cosán dearg	cosán,dearg
Nm_Nf	cosán sráide	cosán,sráid
Nm_na_Nf	cothrom na Féinne	cothrom,na,Fiann
Nm_Nf	cothú intleachta	cothú,intleacht
Nm_A	cotún bán	cotún,bán
