Nm_Nm	stoc focail	stoc,focal
Nm_VA	stoc fógartha	stoc,fógartha
Nf_Nm	striapach fir	striapach,fear
Nm_VA	stráice teanntaithe	stráice,teanntaithe
Nm_Nm	stróc teasa	stróc,teas
Nm_A	stua biorach	stua,biorach
Nm_Nm	stua ceatha	stua,cith
Nm_VA	stádas scortha	stádas,scortha
Nf_A	stáir dheireanach	stáir,deireanach
Nm_Nm	stáisiún dóiteáin	stáisiún,dóiteán
Nm_na_NmGenS	stáisiún na bpóilíní	stáisiún,na,póilín
Nm_Nm	stáisiún peitril	stáisiún,peitreal
Nm_Nf	stáisiún teilifíse	stáisiún,teilifís
Nm_Nf	stáisiún traenach	stáisiún,traein
Nm_A	stát spleách	stát,spleách
Nf_A	stéig mhór	stéig,mór
Nm_Nm	stór eolais	stór,eolas
Nm_Nm	stórchiste focail	stórchiste,focal
Nm_na_Nf	suan na muice	suan,na,muc
Adv:Pr_NmL	do ghogaide	do,gogaide
Adv:Pr_NmE	i bhfad	i,fad
Nf_AB	suáilce chairdinéalta	suáilce,cairdinéalta
Nm_A	sábh slabhrach	sábh,slabhrach
Adv:Pr_Nf	le cleith	le,cleith
Nm_Nm	sáilín coiligh	sáilín,coileach
Nm_A	sáspan dubh	sáspan,dubh
Nm_Nm	séala taois	séala,taos
Adv:Pr_NmL	ar shiúl	ar,siúl
Nm_Nm	síol féir	síol,féar
Nf_AB	síolta gheal	síolta,geal
Nm_VA	síte fillte	síte,fillte
Nm_Nm	sú crainn	sú,crann
Nm_na_Nf	sú na cíche	sú,na,cíoch
Nm_na_Nf	sú na fíniúna	sú,na,fíniúin
Nm_na_Nf	sú na heorna	sú,na,eorna
Nm_Nf	sú talún	sú,talamh
Nf_VA	súil chiorraithe	súil,ciorraithe
Nf_A	súil dhubh	súil,dubh
Nf_AB	súil fhiata	súil,fiata
Nf_A	súil ghéar	súil,géar
Nf_A	súil leictreach	súil,leictreach
Nf_VA	súil mhillte	súil,millte
Nf_AB	súil shimplí	súil,simplí
Nf_Nm	súil tairbh	súil,tarbh
Nf_Nm	súil teaspaigh	súil,teaspach
Nm_Nm	súmaire gainimh	súmaire,gaineamh
Nm_na_NmGenW	súp na gcaolán	súp,na,caolán
Adv:Pr_NfL	ar aghaidh	ar,aghaidh
Adv:Pr_NfL	ar aird	ar,aird
Adv:Pr_NfL	ar ais	ar,ais
Adv:Pr_NmE	ar gcúl	ar,cúl
Adv:Pr_NfL	ar iasacht	ar,iasacht
Adv:Pr_NfL	ar iontaoibh	ar,iontaoibh
Adv:Pr_NfL	faoi thuairim	faoi,tuairim
Nm_A	buille iomrallach	buille,iomrallach
Nm_A	béal bán	béal,bán
Adv:Pr_NmE	i leataobh	i,leataobh
Adv:Pr_NmL	do sheanbhuille	do,seanbhuille
Nm_VA	focal molta	focal,molta
Adv:Pr_NmL	le chéile	le,céile
Adv:Pr_Nm	le fios	le,fios
Adv:Pr_NfL	mar pháirtíocaíocht	mar,páirtíocaíocht
Nm_Nm	mionn éithigh	mionn,éitheach
Nf_AB	súil fhiata	súil,fiata
Nm_Nm	taca cinn	taca,ceann
Nm_A	tacar folamh	tacar,folamh
Nf_A	tacaíocht theicniúil	tacaíocht,teicniúil
Nm_VA	tae oighrithe	tae,oighrithe
Nm_Nm	tairne airm	tairne,arm
Nm_Nf	tairne bróige	tairne,bróg
Nf_Nf	tairseach fuinneoige	tairseach,fuinneog
Nm_Nf	taispeántas ealaíne	taispeántas,ealaín
Nm_Nf	taistealaí tráchtála	taistealaí,tráchtáil
Adv:Pr_NmL	le chéile	le,céile
Nm_A	talamh bán	talamh,bán
Nf_Nm	talamh calaidh	talamh,caladh
Nm_A	talamh coiteann	talamh,coiteann
Nf_Nf	talamh curaíochta	talamh,curaíocht
Nf_Nm	talamh féaraigh	talamh,féarach
Nm_A	talamh garbh	talamh,garbh
Nf_A	talamh sprusach	talamh,sprusach
Nm_A	talamh tirim	talamh,tirim
Nm_Nm	tamall fuachta	tamall,fuacht
Nm_A	taobh deas	taobh,deas
Adv:Pr_Nm	le taobh	le,taobh
Nm_na_Nf	taobh na fothana	taobh,na,fothain
Nm_Nf	taobh tíre	taobh,tír
Nm_Nm	taomán fuail	taomán,fual
Adv:Pr_NfL	ar ais	ar,ais
Adv:Pr_NmL	ar chomhréiteach	ar,comhréiteach
Adv:Pr_Nm	ar cothrom	ar,cothrom
Adv:Pr_Nf	ar cuairt	ar,cuairt
Adv:Pr_Nf	as meisce	as,meisce
Adv:Pr_NmL	de bharr	de,barr
Adv:Pr_NfE	i dtír	i,tír
Adv:Pr_NfE	i gcoinlíocht	i,coinlíocht
Adv:Pr_NmE	i gcrann	i,crann
Adv:Pr_NmE	i gcruth	i,cruth
Adv:Pr_NfE	i láthair	i,láthair
Adv:Pr_NmE	i mbarr	i,barr
Adv:Pr_NmE	i mbláth	i,bláth
Adv:Pr_Nf	in inmhe	i,inmhe
Adv:Pr_Nf	in oidhreacht	i,oidhreacht
Adv:Pr_NmL	le chéile	le,céile
Adv:Pr_NmL	do bhod	do,bod
Nm_Nm	teach Dé	teach,dia
Nm_Nm	teach adhmaid	teach,adhmad
Nm_A	teach aoibhinn	teach,aoibhinn
Nm_Nf	teach banaltrachta	teach,banaltracht
Nm_A	teach beag	teach,beag
Nm_Nm	teach búistéara	teach,búistéir
Nm_VA	teach coscartha	teach,coscartha
Nm_Nm	teach crainn	teach,crann
Nm_Nm	teach custaim	teach,custam
Nm_VA	teach cónaithe	teach,cónaithe
Nm_Nf	teach cúirte	teach,cúirt
Nm_Nm	teach eitleáin	teach,eitleán
Nm_VA	teach folctha	teach,folctha
Nm_A	teach gluaisteach	teach,gluaisteach
Nm_A	teach lán	teach,lán
Nm_A	teach mór	teach,mór
Nm_na_NmGenW	teach na mbocht	teach,na,bocht
Nm_Nm	teach pobail	teach,pobal
Nm_Nm	teach téarnaimh	teach,téarnamh
Nm_Nm	teach óil	teach,ól
Adv:Pr_NfL	ar aghaidh	ar,aghaidh
Adv:Pr_NfL	ar ais	ar,ais
Adv:Pr_NmE	i dteannta	i,teannta
Adv:Pr_NfE	i dtír	i,tír
Adv:Pr_NfE	i láthair	i,láthair
Adv:Pr_NmE	i mbláth	i,bláth
Adv:Pr_NmL	le chéile	le,céile
Nm_A	teachín beag	teachín,beag
Nm_A	teaghrán comharthach	teaghrán,comharthach
Adv:Pr_NmL	le chéile	le,céile
Nf_A	teanga bheag	teanga,beag
Nf_AB	teanga bheo	teanga,beo
Nf_Nf	teanga bróige	teanga,bróg
Nf_Nm	teanga cloig	teanga,clog
Adv:Pr_NmE	i mbaol	i,baol
Nf_AB	teanga mháthartha	teanga,máthartha
Nm_na_Nf	teannán na hioscaide	teannán,na,ioscaid
Nm_Nf	teastas aoise	teastas,aois
Nm_Nm	teastas beireatais	teastas,beireatas
Nm_Nm	teastas báis	teastas,bás
Nm_Nm	teilgean cinn	teilgean,ceann
Nf_AB	teilifís dhaite	teilifís,daite
Nf_A	teist choiriúil	teist,coiriúil
Adv:Pr_Nm	thar barr	thar,barr
Adv:Pr_Nm	thar bord	thar,bord
Adv:Pr_Nf	thar bráid	thar,bráid
Adv:Pr_Nf	thar cailc	thar,cailc
Adv:Pr_Nm	thar ceal	thar,ceal
Adv:Pr_Nf	thar cuimse	thar,cuimse
Adv:Pr_Nf	thar farraige	thar,farraige
Adv:Pr_Nf	thar fulaingt	thar,fulaingt
Adv:Pr_Nf	thar fóir	thar,fóir
Adv:Pr_Nm	thar lear	thar,lear
Adv:Pr_Nf	thar maoil	thar,maoil
Adv:Pr_Nm	thar meán	thar,meán
Adv:Pr_Nf	thar muir	thar,muir
Adv:Pr_Nf	thar oíche	thar,oíche
Adv:Pr_Nf	thar sáile	thar,sáile
Adv:Pr_Nf	thar tairseach	thar,tairseach
Adv:Pr_Nf	thar teorainn	thar,teorainn
Adv:Pr_Nm	thar téarma	thar,téarma
Adv:Pr_Nf	thar tír	thar,tír
Nm_A	tiarna beag	tiarna,beag
Nm_Nf	tiarna talún	tiarna,talamh
Nm_VA	ticéad fillte	ticéad,fillte
Nm_A	ticéad singil	ticéad,singil
Nm_Nm	timire teallaigh	timire,teallach
Nf_A	timpiste mharfach	timpiste,marfach
Nm_Nm	tinneas caoldroma	tinneas,caoldroim
Nm_Nm	tinneas cinn	tinneas,ceann
Nm_Nf	tinneas clainne	tinneas,clann
Nm_Nm	tinneas droma	tinneas,droim
Nm_Nf	tinneas fiacaile	tinneas,fiacail
Nm_Nm	tinneas fuail	tinneas,fual
Nm_Nf	tinneas póite	tinneas,póit
Nm_Nf	tinneas talún	tinneas,talamh
Nm_Nm	tinneas tumadóra	tinneas,tumadóir
Nm_Nm	tinneas óil	tinneas,ól
Nm_Nm	tiomsú airgid	tiomsú,airgead
Adv:Pr_NfL	ar ais	ar,ais
Adv:Pr_Nf	ar meisce	ar,meisce
Nm_A	tiontaire catalaíoch	tiontaire,catalaíoch
Adv:Pr_Nf	go talamh	go,talamh
Adv:Pr_NfE	i bhfanntais	i,fanntais
Adv:Pr_NfE	i laige	i,laige
Adv:Pr_NmE	i meirfean	i,meirfean
Adv:Pr_NmE	i ngrá	i,grá
Adv:Pr_Nm	in éadóchas	i,éadóchas
Adv:Pr_NmL	ó chéile	ó,céile
Nm_Nf	tlú cataíola	tlú,cataíl
Nm_na_Nf	tobar na baithise	tobar,na,baithis
Nm_Nf	tobhach cánach	tobhach,cáin
Nm_Nm	togha bairr	togha,barr
Nm_Nm	togha fir	togha,fear
Nm_na_NmGenW	togha na bhfear	togha,na,fear
Nm_VA	toghchán braite	toghchán,braite
Nm_Nf	toirtín cáise	toirtín,cáis
Nm_A	toirtín gruagach	toirtín,gruagach
Nm_Nm	toitín féir	toitín,féar
Nf_Nm	tonn teasa	tonn,teas
Nm_VA	toradh leasaithe	toradh,leasaithe
Nm_A	toradh sciathánach	toradh,sciathánach
Nm_na_NmGenS	torc na bhfaithní	torc,na,faithne
Nm_A	torcán craobhach	torcán,craobhach
Nm_A	tormán sonach	tormán,sonach
Nm_Nm	tosach báid	tosach,bád
Adv:Pr_NfL	faoi thalamh	faoi,talamh
Nm_Nf	trealamh oifige	trealamh,oifig
Nm_VA	trealamh tuirlingthe	trealamh,tuirlingthe
Nm_Nf	triomadóir gruaige	triomadóir,gruaig
Adv:Pr_Nf	in aghaidh	i,aghaidh
Nm_Nm	tromán páipéir	tromán,páipéar
Nm_Nf	tréan brúidiúlachta	tréan,brúidiúlacht
Adv:Pr_NfL	ar leith	ar,leith
Adv:Pr_NmL	trí chomhtharlú	trí,comhtharlú
Nf_Nm	tua búistéara	tua,búistéir
Nm_Nm	tuar ceatha	tuar,cith
Nm_Nm	tuismitheoir altrama	tuismitheoir,altram
Nm_VA	turas fillte	turas,fillte
Nf_Nf	táille bróicéireachta	táille,bróicéireacht
Nf_Nm	táille gabhainn	táille,gabhann
Nf_A	táiplis bheag	táiplis,beag
Nf_A	táiplis mhór	táiplis,mór
Nf_Nf	téad tíre	téad,tír
Nm_A	téamh lárnach	téamh,lárnach
Nm_A	téarma aicmeach	téarma,aicmeach
Nm_A	téarma aonchiallach	téarma,aonchiallach
Nm_A	téarma comhchiallach	téarma,comhchiallach
Nm_A	téarma cúng	téarma,cúng
Adv:Pr_NfE	i léig	i,léig
Nm_A	téarma ilchiallach	téarma,ilchiallach
Nm_A	téarma leathan	téarma,leathan
Nm_A	téarma lochtach	téarma,lochtach
Nm_VA	téarma molta	téarma,molta
Adv:Pr_Nf	ag fálróid	ag,fálróid
Adv:Pr_Nm	ag lámhacán	ag,lámhacán
Adv:Pr_Nf	ag rothaíocht	ag,rothaíocht
Adv:Pr_Nf	ag siopadóireacht	ag,siopadóireacht
Adv:Pr_Nf	ag spaisteoireacht	ag,spaisteoireacht
Adv:Pr_NfL	ar aghaidh	ar,aghaidh
Adv:Pr_NfL	ar ais	ar,ais
Adv:Pr_Nm	ar bord	ar,bord
Adv:Pr_Nf	ar foluain	ar,foluain
Adv:Pr_Nm	ar foscadh	ar,foscadh
Adv:Pr_NmE	ar gcúl	ar,cúl
Adv:Pr_NfL	ar imirce	ar,imirce
Adv:Pr_NmL	ar luas	ar,luas
Adv:Pr_NfL	ar mhuin	ar,muin
Adv:Pr_NmL	ar neamhní	ar,neamhní
Adv:Pr_Nf	ar paráid	ar,paráid
Adv:Pr_NfL	ar scoil	ar,scoil
Adv:Pr_Nm	ar seachmall	ar,seachmall
Adv:Pr_Nm	ar seachrán	ar,seachrán
Adv:Pr_NfL	ar stailc	ar,stailc
Adv:Pr_NfL	ar thuairisc	ar,tuairisc
Adv:Pr_Nm	ar turas	ar,turas
Adv:Pr_Nm	as amharc	as,amharc
Adv:Pr_Nf	as feidhm	as,feidhm
Adv:Pr_Nm	as radharc	as,radharc
Adv:Pr_Nf	chun farraige	chun,farraige
Adv:Pr_NmL	de sciotán	de,sciotán
Adv:Pr_NmL	faoi arm	faoi,arm
Adv:Pr_NfL	faoi choinne	faoi,coinne
Adv:Pr_NmL	faoi scrúdú	faoi,scrúdú
Adv:Pr_Nm	go barr	go,barr
Adv:Pr_Nm	go grinneall	go,grinneall
Adv:Pr_Nf	go tóin	go,tóin
Adv:Pr_NmE	i bhfad	i,fad
Adv:Pr_NmE	i bhfad	i,fad
Adv:Pr_NmE	i bhfeabhas	i,feabhas
Adv:Pr_NfE	i bhfionnuaire	i,fionnuaire
Adv:Pr_NmE	i bhfolach	i,folach
Adv:Pr_NmE	i bhfostú	i,fostú
Adv:Pr_NfE	i bpáirt	i,páirt
Adv:Pr_NfE	i dtaithí	i,taithí
Adv:Pr_NmE	i dteannta	i,teannta
Adv:Pr_NmE	i dtiús	i,tiús
Adv:Pr_NfE	i dtír	i,tír
Adv:Pr_NfE	i gcabhair	i,cabhair
Adv:Pr_NmE	i gceann	i,ceann
Adv:Pr_NmE	i gceannas	i,ceannas
Adv:Pr_NfE	i gcoinne	i,coinne
Adv:Pr_NfE	i gcomhairle	i,comhairle
Adv:Pr_NmE	i gcomhar	i,comhar
Adv:Pr_NfE	i gcuideachta	i,cuideachta
Adv:Pr_NmE	i gcuircín	i,cuircín
Adv:Pr_NmE	i laghad	i,laghad
Adv:Pr_NfE	i laige	i,laige
Adv:Pr_NmE	i leataobh	i,leataobh
Adv:Pr_NfE	i leith	i,leith
Adv:Pr_NfE	i láthair	i,láthair
Adv:Pr_NfE	i léig	i,léig
Adv:Pr_NfE	i líne	i,líne
Adv:Pr_NfE	i mbreis	i,breis
Adv:Pr_NmE	i mbun	i,bun
Adv:Pr_NfE	i mbá	i,bá
Adv:Pr_NmE	i measc	i,measc
Adv:Pr_NfE	i muinín	i,muinín
Adv:Pr_NfE	i méid	i,méid
Adv:Pr_NfE	i ndoimhneacht	i,doimhneacht
Adv:Pr_NfE	i ndímrí	i,dímrí
Adv:Pr_NfE	i ndísc	i,dísc
Adv:Pr_NmE	i ngreim	i,greim
Adv:Pr_NmE	i riocht	i,riocht
Adv:Pr_NmE	i scaoll	i,scaoll
Adv:Pr_NfE	i scuaine	i,scuaine
Adv:Pr_Nm	in abar	i,abar
Adv:Pr_Nm	in achrann	i,achrann
Adv:Pr_Nf	in aghaidh	i,aghaidh
Adv:Pr_Nm	in ainseal	i,ainseal
Adv:Pr_Nf	in aois	i,aois
Adv:Pr_Nf	in araicis	i,araicis
Adv:Pr_Nm	in ionad	i,ionad
Adv:Pr_Nf	in oiriúint	i,oiriúint
Adv:Pr_Nm	in olcas	i,olcas
Adv:Pr_Nf	in áit	i,áit
Adv:Pr_Nm	in éag	i,éag
Nf_Nf	ísle brí	ísle,brí
Adv:Pr_Nf	le buile	le,buile
Adv:Pr_Nf	le báiní	le,báiní
Adv:Pr_NmL	le chéile	le,céile
Adv:Pr_Nm	le cuthach	le,cuthach
Adv:Pr_Nf	le fána	le,fána
Adv:Pr_Nm	le sruth	le,sruth
Adv:Pr_Nm	thar am	thar,am
Adv:Pr_Nf	thar cailc	thar,cailc
Adv:Pr_Nf	thar fóir	thar,fóir
Adv:Pr_Nf	thar maoil	thar,maoil
Adv:Pr_Nm	thar ceann	thar,ceann
Adv:Pr_NmL	ó chion	ó,cion
Adv:Pr_NfL	ó mhaith	ó,maith
Adv:Pr_NmL	ó stiúradh	ó,stiúradh
Nf_A	téip dhearg	téip,dearg
Nf_A	téip ghlan	téip,glan
Nf_A	téip theileagrafach	téip,teileagrafach
Adv:Pr_Nm	ar cíos	ar,cíos
Adv:Pr_NfL	ar léas	ar,léas
Adv:Pr_Nm	in ainriocht	i,ainriocht
Adv:Pr_Nf	le gaoth	le,gaoth
Adv:Pr_Nm	thar ceann	thar,ceann
Nf_A	tóin throm	tóin,trom
Adv:Pr_Nm	gan toradh	gan,toradh
Nm_A	tósta Francach	tósta,Francach
Nm_VA	uachtar bearrtha	uachtar,bearrtha
Nm_VA	uachtar coipthe	uachtar,coipthe
Nm_VA	uachtar reoite	uachtar,reoite
Nm_VA	uaireadóir cosanta	uaireadóir,cosanta
Nm_Nm	uamhan Dé	uamhan,dia
Nm_Nm	uamhan clóis	uamhan,clós
Nm_A	uasal Spáinneach	uasal,Spáinneach
Nf_AB	ubh chruabhruite	ubh,cruabhruite
Nf_VA	ubh fhriochta	ubh,friochta
Nf_Nf	ubh fáire	ubh,fáir
Adv:Pr_NfL	ar uillinn	ar,uillinn
Nf_A	uimhir Rómhánach	uimhir,Rómhánach
Nf_AB	uimhir phríomha	uimhir,príomha
Nm_A	uisce bog	uisce,bog
Nm_A	uisce coipeach	uisce,coipeach
Nm_VA	uisce coisricthe	uisce,coisricthe
Nm_VA	uisce dambáilte	uisce,dambáilte
Adv:Pr_NfL	faoi thalamh	faoi,talamh
Nm_A	uisce mianrach	uisce,mianrach
Nm_A	uisce te	uisce,te
Adv:Pr_NmL	um thráthnóna	um,tráthnóna
Nm_na_Nf	umar na haimléise	umar,na,aimléis
Nm_Nm	umar peitril	umar,peitreal
Nm_Nm	unlas capaill	unlas,capall
Nm_A	urchar folamh	urchar,folamh
Nm_Nm	urchar iomraill	urchar,iomrall
Nm_VA	urlár buailte	urlár,buailte
Adv:Pr_NfL	faoi thalamh	faoi,talamh
Nm_Nf	urlár talún	urlár,talamh
Nm_Nm	vaigín armlóin	vaigín,armlón
Nm_VA	ábhar clóite	ábhar,clóite
Nm_Nm	ábhar uafáis	ábhar,uafás
Nm_A	ádh dearg	ádh,dearg
Nm_A	áilleagán intreach	áilleagán,intreach
Nf_VA	áit chónaithe	áit,cónaithe
Nf_A	áit shalach	áit,salach
Nf_A	áit éigin	áit,éigin
Nm_A	árthach foluaineach	árthach,foluaineach
Nm_Nm	éadach baile	éadach,baile
Nm_Nm	éadach boird	éadach,bord
Nm_Nf	éadach brád	éadach,bráid
Nm_Nm	éadach cadáis	éadach,cadás
Nm_Nm	éadach cinn	éadach,ceann
Nm_Nf	éadach ciumhaise	éadach,ciumhais
Nm_A	éadan claon	éadan,claon
Nm_Nf	éan aille	éan,aill
Nm_Nm	éan aonair	éan,aonar
Nm_A	éan cairdinéalach	éan,cairdinéalach
Nm_Nf	éan circe	éan,cearc
Nm_Nm	éan coilm	éan,colm
Nm_A	éan corr	éan,corr
Nm_Nf	éan creiche	éan,creach
Nm_A	éan cuideáin	éan,cuideáin
Nm_A	éan dearg	éan,dearg
Nm_A	éan dubh	éan,dubh
Nm_Nm	éan fíodóra	éan,fíodóir
Nm_na_Nf	éan na cuaiche	éan,na,cuach
Adv:Pr_NfL	ar eitleog	ar,eitleog
Nm_Nf	éirí gealaí	éirí,gealach
Nm_Nf	éirí gréine	éirí,grian
Adv:Pr_NmL	do bhéal	do,béal
Adv:Pr_NfL	ar ais	ar,ais
Adv:Pr_NmL	ar sheachadadh	ar,seachadadh
Adv:Pr_NmL	do chion	do,cion
Nf_A	íocaíocht chomharthach	íocaíocht,comharthach
Nm_Nf	íocóir cánach	íocóir,cáin
Adv:Pr_Nm	go diúra	go,diúra
Adv:Pr_NfL	ó bhroinn	ó,broinn
Adv:Pr_NmL	ó bhun	ó,bun
Adv:Pr_NmL	ó bhéal	ó,béal
Adv:Pr_NmL	ó chroí	ó,croí
Adv:Pr_NmL	ó chéile	ó,céile
Adv:Pr_NmL	ó dhúchas	ó,dúchas
Adv:Pr_NfL	ó fhréamh	ó,fréamh
Adv:Pr_NmL	ó nádúr	ó,nádúr
Adv:Pr_NfE	i leith	i,leith
Adv:Pr_NmL	ó smacht	ó,smacht
Adv:Pr_NfL	ó thalamh	ó,talamh
Adv:Pr_NmL	ó thosach	ó,tosach
Adv:Pr_NmL	go chéile	go,céile
Nm_Nm	ór bunaidh	ór,bunadh
Nm_Nm	údar achrainn	údar,achrann
Nm_Nm	údar aighnis	údar,aighneas
Nm_VA	údar millte	údar,millte
Nm_Nf	úinéir talún	úinéir,talamh
Nm_Nf	úinéir teaghaise	úinéir,teaghais
Nm_A	úll gráinneach	úll,gráinneach
Nm_na_Nf	úll na brád	úll,na,bráid
Nm_na_Nf	úll na haithne	úll,na,aithne
Nm_na_Nf	úll na leise	úll,na,leis
Nm_na_Nf	úll na scornaí	úll,na,scornach
Nm_na_Nf	úll na slogaide	úll,na,slogaide
Nm_Nf	úr olla	úr,olann
